Model;Ablasyon;Head;Tune;Rock (F1);Paper (F1);Scissors (F1);None/Bg (F1)
ResNet50;RATIO_1X;Standard;Standard;0.7937;0.8896;0.8800;0.8021
EfficientNetV2B0;GAN;Standard;Standard;0.8031;0.9231;0.8731;0.7653
MobileNetV3Small;GAN;Standard;Standard;0.9032;0.8269;0.8014;0.8310
ResNet50;GAN;Standard;Progressive;0.8110;0.8767;0.8832;0.7895
ResNet50;FULL;Standard;Standard;0.8231;0.8844;0.8614;0.7916
ResNet50;REMBG_ONLY;Standard;Standard;0.8000;0.8866;0.8714;0.8021
ResNet50;NO_SHIFT;Standard;Progressive;0.8000;0.8866;0.8849;0.7874
ResNet50;REMBG_ONLY;Standard;Standard;0.8000;0.9085;0.8727;0.7772
ResNet50;INDOOR;Standard;Standard;0.8154;0.8817;0.8746;0.7853
ResNet50;NO_ALPHA;Standard;Progressive;0.7854;0.8997;0.8986;0.7732
ResNet50;RATIO_1X;Standard;Standard;0.7742;0.9078;0.8913;0.7833
EfficientNetV2B0;GAN;Standard;Standard;0.8263;0.8881;0.8679;0.7692
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.7952;0.8958;0.8873;0.7732
ResNet50;GAN;Standard;Progressive;0.7968;0.9014;0.8864;0.7653
ResNet50;STYLE_TRANSFER;Standard;Progressive;0.7952;0.8920;0.8849;0.7772
ResNet50;INDOOR;Standard;Progressive;0.8063;0.8789;0.8800;0.7833
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8993;0.8339;0.8014;0.8130
MobileNetV3Small;GAN;Standard;Standard;0.8953;0.8127;0.8014;0.8380
DenseNet121;INDOOR;Standard;Standard;0.7826;0.9053;0.8777;0.7812
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8881;0.8351;0.8104;0.8130
ResNet50;REMBG_ONLY;Standard;Standard;0.7905;0.9039;0.8809;0.7712
EfficientNetV2B0;FULL;Attention;Standard;0.7903;0.9072;0.8815;0.7673
ResNet50;FULL;Standard;Standard;0.7791;0.9066;0.8809;0.7792
ResNet50;REMBG_ONLY;Standard;Progressive;0.7871;0.9085;0.8856;0.7576
ResNet50;INDOOR;Standard;Standard;0.7809;0.9117;0.8856;0.7595
VGG16;STYLE_TRANSFER;Standard;Standard;0.8137;0.8800;0.8718;0.7712
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8913;0.8387;0.7985;0.8065
ResNet50;NO_ALPHA;Standard;Standard;0.7791;0.9039;0.8881;0.7634
ResNet50;NO_SHIFT;Standard;Progressive;0.7871;0.8889;0.8809;0.7772
ResNet50;REMBG_ONLY;Standard;Progressive;0.7871;0.8975;0.8841;0.7653
ResNet50;RANDBG;Standard;Progressive;0.7823;0.8982;0.8873;0.7653
ResNet50;NO_SHIFT;Standard;Standard;0.7760;0.8951;0.8817;0.7792
ResNet50;GAN;Standard;Progressive;0.7871;0.8982;0.8824;0.7614
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;0.8759;0.8459;0.8044;0.7979
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8905;0.8293;0.7868;0.8174
DenseNet121;FULL;Standard;Progressive;0.7311;0.9306;0.9000;0.7614
ResNet50;GAN;Standard;Progressive;0.7755;0.8982;0.8873;0.7595
EfficientNetV2B0;RANDBG;Standard;Standard;0.7755;0.9141;0.8731;0.7576
EfficientNetV2B0;NO_SHIFT;Standard;Standard;0.7755;0.9034;0.8815;0.7595
DenseNet121;INDOOR;Standard;Standard;0.7857;0.8953;0.8800;0.7576
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;0.8000;0.8927;0.8647;0.7595
ResNet50;FULL;Standard;Progressive;0.7920;0.8873;0.8750;0.7614
ResNet50;RANDBG;Standard;Progressive;0.7773;0.8789;0.8841;0.7732
VGG16;STYLE_TRANSFER;Standard;Standard;0.8178;0.8750;0.8539;0.7653
MobileNetV3Small;GAN;Standard;Standard;0.8832;0.8429;0.7881;0.7958
EfficientNetV2B0;FULL;Attention;Standard;0.7603;0.9129;0.8856;0.7500
ResNet50;GAN;Standard;Standard;0.7642;0.9039;0.8841;0.7557
ResNet50;FULL;Standard;Progressive;0.7603;0.8982;0.8945;0.7538
VGG16;GAN;Standard;Standard;0.7591;0.8800;0.8782;0.7895
MobileNetV3Small;RANDBG;Standard;Standard;0.8824;0.8417;0.7926;0.7895
DenseNet121;REMBG_ONLY;Standard;Standard;0.7905;0.8986;0.8613;0.7557
EfficientNetV2B0;RATIO_1X;Standard;Standard;0.7642;0.9003;0.8806;0.7595
ResNet50;REMBG_ONLY;Standard;Standard;0.7541;0.9021;0.8905;0.7576
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;0.7871;0.9003;0.8593;0.7557
ResNet50;NO_ALPHA;Standard;Progressive;0.7500;0.9059;0.8971;0.7481
ResNet50;NO_ALPHA;Standard;Progressive;0.7552;0.9028;0.8897;0.7519
MobileNetV3Small;INDOOR;Standard;Standard;0.8913;0.8316;0.7782;0.7979
DenseNet121;INDOOR;Standard;Progressive;0.7417;0.9039;0.8881;0.7634
ResNet50;REMBG_ONLY;Standard;Progressive;0.7724;0.8819;0.8791;0.7634
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;0.7673;0.9010;0.8689;0.7595
MobileNetV3Small;FULL;Standard;Standard;0.8791;0.8271;0.7786;0.8108
MobileNetV3Small;REMBG_ONLY;Standard;Standard;0.8873;0.8132;0.7914;0.8021
ResNet50;FULL;Standard;Progressive;0.7552;0.8828;0.8849;0.7673
VGG16;NO_SHIFT;Standard;Standard;0.7626;0.8873;0.8824;0.7576
VGG16;GAN;Standard;Standard;0.7680;0.8986;0.8782;0.7444
VGG16;RANDBG;Standard;Standard;0.7734;0.8857;0.8699;0.7595
MobileNetV3Small;NO_SHIFT;Standard;Standard;0.8625;0.8448;0.7941;0.7853
ResNet50;FULL;Standard;Progressive;0.7673;0.8873;0.8759;0.7557
EfficientNetV2B0;FULL;Attention;Standard;0.7572;0.9003;0.8764;0.7519
DenseNet121;REMBG_ONLY;Standard;Progressive;0.7179;0.9291;0.8905;0.7481
ResNet50;INDOOR;Standard;Progressive;0.7654;0.8732;0.8849;0.7595
MobileNetV3Small;INDOOR;Standard;Standard;0.8708;0.8281;0.7925;0.7916
VGG16;FULL;Standard;Standard;0.7704;0.8873;0.8593;0.7653
ResNet50;REMBG_ONLY;Standard;Progressive;0.7673;0.8842;0.8782;0.7519
EfficientNetV2B0;INDOOR;Standard;Standard;0.7521;0.9066;0.8764;0.7463
MobileNetV3Small;RANDBG;Standard;Standard;0.8699;0.8143;0.7942;0.8021
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8881;0.8159;0.7721;0.8021
DenseNet121;INDOOR;Standard;Progressive;0.7124;0.9231;0.8961;0.7463
ResNet50;NO_ALPHA;Standard;Progressive;0.7234;0.9072;0.8945;0.7519
EfficientNetV2B0;NO_SHIFT;Standard;Standard;0.7623;0.9007;0.8722;0.7353
ResNet50;INDOOR;Standard;Progressive;0.7342;0.8920;0.8945;0.7481
EfficientNetV2B0;RATIO_1X;Standard;Standard;0.7603;0.9003;0.8636;0.7444
EfficientNetV2B0;RATIO_1X;Standard;Standard;0.7521;0.9034;0.8679;0.7444
MobileNetV3Small;GAN;Standard;Standard;0.8614;0.8339;0.7737;0.7979
VGG16;STYLE_TRANSFER;Standard;Standard;0.7460;0.8968;0.8699;0.7538
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;0.7705;0.8990;0.8561;0.7407
ResNet50;NO_SHIFT;Standard;Progressive;0.7342;0.8889;0.8881;0.7538
EfficientNetV2B0;RANDBG;Standard;Standard;0.7342;0.9161;0.8806;0.7335
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8625;0.8043;0.7887;0.8086
EfficientNetV2B0;NO_ALPHA;Standard;Standard;0.7364;0.9014;0.8856;0.7389
ResNet50;RANDBG;Standard;Progressive;0.7288;0.8975;0.8945;0.7389
EfficientNetV2B0;NO_ALPHA;Standard;Standard;0.7521;0.9021;0.8679;0.7371
EfficientNetV2B0;GAN;Standard;Standard;0.7541;0.8966;0.8604;0.7481
MobileNetV3Small;NO_SHIFT;Standard;Standard;0.8614;0.8256;0.7881;0.7833
MobileNetV3Small;INDOOR;Standard;Standard;0.8528;0.8339;0.7971;0.7732
EfficientNetV2B0;INDOOR;Standard;Standard;0.7552;0.8859;0.8593;0.7538
VGG16;RATIO_1X;Standard;Standard;0.7893;0.8782;0.8473;0.7389
MobileNetV3Small;RANDBG;Standard;Standard;0.8945;0.7803;0.7845;0.7937
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8800;0.8156;0.7623;0.7937
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8528;0.8321;0.7970;0.7692
EfficientNetV2B0;NO_SHIFT;Standard;Standard;0.7521;0.9066;0.8550;0.7371
MobileNetV3Small;NO_SHIFT;Standard;Standard;0.8708;0.8059;0.7826;0.7895
MobileNetV3Small;REMBG_ONLY;Standard;Standard;0.8676;0.8182;0.7739;0.7874
