family,model,ablation_a,ablation_b,head,tune,mean_a,mean_b,delta,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,shapiro_p_diff,cohen_d_uncorrected,hedges_g,cliffs_delta,n_pairs,p_raw,p_bh_fdr,sig_q05,model_a,model_b,ablation,mean_standard,mean_progressive,head_a,head_b,mean_standard_head,mean_other_head
A_synth_vs_no_synth,EfficientNetV2B0,GAN,NO_SYNTH,standard,standard,0.9985179506835313,0.43096972019931,0.5675482304842213,0.0,0.0625,18.5273265567731,4.9947333347316535e-05,0.12290615043609798,8.285672324456355,6.628537859565085,1.0,5,4.9947333347316535e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,STYLE_TRANSFER,NO_SYNTH,standard,standard,0.9541842340615817,0.43096972019931,0.5232145138622717,0.0,0.0625,12.027216708917438,0.0002739907348085359,0.5088053118140674,5.378734828252138,4.30298786260171,1.0,5,0.0002739907348085359,0.00030209234863505237,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,REMBG_ONLY,NO_SYNTH,standard,standard,0.9472339338188321,0.43096972019931,0.5162642136195221,0.0,0.0625,15.404796560197397,0.00010361538640878194,0.19980382659432033,6.889234457631263,5.511387566105011,1.0,5,0.00010361538640878194,0.00012041788150209793,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,NO_ALPHA,NO_SYNTH,standard,standard,0.9825220390954389,0.43096972019931,0.5515523188961289,0.0,0.0625,19.188978959497703,4.3463170692753796e-05,0.6625654137153631,8.581572274450009,6.865257819560007,1.0,5,4.3463170692753796e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,NO_SHIFT,NO_SYNTH,standard,standard,0.9520122652357225,0.43096972019931,0.5210425450364125,0.0,0.0625,12.339593513365763,0.0002478382715642798,0.45655379998128764,5.518433982120262,4.41474718569621,1.0,5,0.0002478382715642798,0.00028044857045431663,True,,,,,,,,,
A_synth_vs_no_synth,EfficientNetV2B0,RATIO_1X,NO_SYNTH,standard,standard,0.9826498019675481,0.43096972019931,0.5516800817682381,0.0,0.0625,16.46321375458197,7.970495578378806e-05,0.3620773110979814,7.362573016670965,5.890058413336773,1.0,5,7.970495578378806e-05,9.792323139151105e-05,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,FULL,NO_SYNTH,standard,standard,0.98349303692347,0.41806567011626417,0.5654273668072058,0.0,0.0625,25.597261744297064,1.3834748562050455e-05,0.16735034163725987,11.447443459620615,9.157954767696493,1.0,5,1.3834748562050455e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,INDOOR,NO_SYNTH,standard,standard,0.9866104510029385,0.41806567011626417,0.5685447808866744,0.0,0.0625,25.797643308427645,1.3411988046839696e-05,0.19391442262080105,11.537056819387358,9.229645455509887,1.0,5,1.3411988046839696e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,RANDBG,NO_SYNTH,standard,standard,0.9867893190238917,0.41806567011626417,0.5687236489076275,0.0,0.0625,25.8177969387646,1.3370366751186531e-05,0.17075021088587655,11.546069796872725,9.236855837498181,1.0,5,1.3370366751186531e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,GAN,NO_SYNTH,standard,standard,0.9836463523700013,0.41806567011626417,0.5655806822537371,0.0,0.0625,25.6919859106143,1.3632858977125768e-05,0.17476580948871445,11.489805394620083,9.191844315696066,1.0,5,1.3632858977125768e-05,6.500773952689408e-05,True,,,,,,,,,
