config,n_folds,n_folds_complete,acc_mean,acc_std,acc_median,acc_iqr_lo,acc_iqr_hi,acc_ci95_lo,acc_ci95_hi,macro_f1_mean,macro_f1_std,model,ablation,head,tune
EfficientNetV2B0|FULL|standard|progressive,5,True,0.9320812571866617,0.003069767224882915,0.9326689663983646,0.9304969975725056,0.9340743579915676,0.9295259997444744,0.9343554363102082,0.9319140972833526,0.00301433901740476,EfficientNetV2B0,FULL,standard,progressive
EfficientNetV2B0|FULL|standard|standard,5,True,0.9982879775137345,0.000499747213890583,0.9982113197904688,0.99795579404625,0.9983390826625782,0.99795579404625,0.9986968187044845,0.9982874695659237,0.0004993283805568072,EfficientNetV2B0,FULL,standard,standard
EfficientNetV2B0|GAN|standard|progressive,5,True,0.9289893956816149,0.0028258420955051197,0.9284527916187556,0.927175162897662,0.9297304203398492,0.9270218474511307,0.9314424428261147,0.9287455284576704,0.0028572966728967262,EfficientNetV2B0,GAN,standard,progressive
EfficientNetV2B0|GAN|standard|standard,5,True,0.9985179506835313,0.0005236719440889446,0.9988501341510158,0.9980835569183596,0.9988501341510158,0.9981084706784209,0.9989012392998596,0.9985170757126272,0.0005233119950271652,EfficientNetV2B0,GAN,standard,standard
EfficientNetV2B0|INDOOR|standard|progressive,5,True,0.9304969975725055,0.0033132240909390567,0.9294748945956304,0.9290916059793024,0.9315191005493804,0.9281972658745369,0.9330778075891146,0.9303159769156158,0.003241941645707915,EfficientNetV2B0,INDOOR,standard,progressive
EfficientNetV2B0|INDOOR|standard|standard,5,True,0.9988245815765937,0.0005298694609256778,0.9988501341510158,0.998594608406797,0.9991056598952344,0.9983901878114221,0.9992334227673438,0.998823700627776,0.0005295400045148192,EfficientNetV2B0,INDOOR,standard,standard
EfficientNetV2B0|NO_ALPHA|standard|standard,5,True,0.9825220390954389,0.03322552035051905,0.9974447425578128,0.997189216813594,0.9974447425578128,0.9527788424683787,0.9974447425578127,0.9823989517423083,0.03350417549582376,EfficientNetV2B0,NO_ALPHA,standard,standard
EfficientNetV2B0|NO_SHIFT|standard|standard,5,True,0.9520122652357225,0.04197721054672635,0.9239810910949278,0.9234700396064904,0.9978280311741408,0.9209147821643031,0.9831097483071419,0.9519910139799134,0.04199207909664783,EfficientNetV2B0,NO_SHIFT,standard,standard
EfficientNetV2B0|NO_SYNTH|standard|standard,5,True,0.43096972019931,0.06805135599188251,0.416890251692858,0.3880158425961416,0.427750095822154,0.38845023636131343,0.4911715855372429,0.39855979910076245,0.06600588408801358,EfficientNetV2B0,NO_SYNTH,standard,standard
EfficientNetV2B0|RANDBG|standard|progressive,5,True,0.9311869170818958,0.003988985213321206,0.9298581832119586,0.9296026574677398,0.9349686980963332,0.9282228184489586,0.9342021208636769,0.9310886768577833,0.0039933610522316495,EfficientNetV2B0,RANDBG,standard,progressive
EfficientNetV2B0|RANDBG|standard|standard,4,False,0.998690430560879,0.00033601068604537494,0.9987862527149611,0.998594608406797,0.9988820748690431,0.9983710233806056,0.9989140155870706,0.9986892633822154,0.0003361346632005879,EfficientNetV2B0,RANDBG,standard,standard
EfficientNetV2B0|RATIO_1X|standard|standard,5,True,0.9826498019675481,0.03301161210043755,0.9973169796857032,0.997189216813594,0.9974447425578128,0.9531110259358628,0.9975469528555001,0.9825998369017415,0.03312350090883839,EfficientNetV2B0,RATIO_1X,standard,standard
EfficientNetV2B0|REMBG_ONLY|standard|standard,5,True,0.9472339338188321,0.02867401354636488,0.9363740896895362,0.9321579149099272,0.9373961926664112,0.9328989395681615,0.9729142711128145,0.9470061794076481,0.028803054332491754,EfficientNetV2B0,REMBG_ONLY,standard,standard
EfficientNetV2B0|STYLE_TRANSFER|standard|standard,5,True,0.9541842340615817,0.03927047048788826,0.9293471317235212,0.9242366168391466,0.9970614539414846,0.9247987734764278,0.9835696946467356,0.9540091280856557,0.03942484383787743,EfficientNetV2B0,STYLE_TRANSFER,standard,standard
MobileNetV3Small|FULL|standard|progressive,5,True,0.8286444359269195,0.007014402758614204,0.8304586687108726,0.826370256803373,0.83096972019931,0.8230995272773732,0.8337038456624505,0.8274053439622305,0.007078205571654241,MobileNetV3Small,FULL,standard,progressive
MobileNetV3Small|FULL|standard|standard,5,True,0.98349303692347,0.0005450550404421145,0.983518589497892,0.9833908266257826,0.983518589497892,0.9830586431582982,0.9839529832630637,0.983500457705334,0.0005485801209143948,MobileNetV3Small,FULL,standard,standard
MobileNetV3Small|GAN|standard|progressive,5,True,0.8292832502874663,0.004125573729584928,0.8308419573272007,0.8261147310591542,0.8322473489204038,0.8259614156126229,0.8324262169413569,0.8284905805273939,0.004047575780088529,MobileNetV3Small,GAN,standard,progressive
MobileNetV3Small|GAN|standard|standard,5,True,0.9836463523700013,0.0004780448941834057,0.9833908266257826,0.9832630637536732,0.9840296409863294,0.9832886163280952,0.9840296409863294,0.9836439138865822,0.0004799342808705922,MobileNetV3Small,GAN,standard,standard
