model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
DenseNet121,NO_SHIFT,standard,standard,1,0.9968059281972659,0.9968056259015912,0.9968055591106182
DenseNet121,NO_SHIFT,standard,standard,2,0.9980835569183595,0.9980826316830579,0.9980829357028291
DenseNet121,NO_SHIFT,standard,standard,3,0.9978280311741408,0.9978284592764138,0.9978281344001961
DenseNet121,NO_SHIFT,standard,standard,4,0.9966781653251565,0.9966771951987459,0.9966770172785333
DenseNet121,NO_SHIFT,standard,standard,5,0.9969336910693752,0.996933188094008,0.9969333069430536
DenseNet121,NO_SYNTH,standard,standard,1,0.5050466334483199,0.46676094664807705,0.4667013746277668
DenseNet121,NO_SYNTH,standard,standard,2,0.5562795451641753,0.5153317790021223,0.5152447272478383
DenseNet121,NO_SYNTH,standard,standard,3,0.5613900600485499,0.5020980635408254,0.5020467669599655
DenseNet121,NO_SYNTH,standard,standard,4,0.6322984540692475,0.5455934134538979,0.5456598678401708
DenseNet121,NO_SYNTH,standard,standard,5,0.5799156765044078,0.531771015829483,0.5317613338428635
DenseNet121,RANDBG,standard,progressive,1,0.9984668455346877,0.9984647638264861,0.9984663504564097
DenseNet121,RANDBG,standard,progressive,2,0.9982113197904688,0.9982095714729322,0.9982111572128932
DenseNet121,RANDBG,standard,progressive,3,0.998594608406797,0.9985931779787962,0.9985944763059563
DenseNet121,RANDBG,standard,progressive,4,0.9977002683020314,0.9976999764783578,0.9977003567950613
DenseNet121,RANDBG,standard,progressive,5,0.9978280311741408,0.9978282491019554,0.9978279947004912
DenseNet121,RANDBG,standard,standard,2,0.9998722371278906,0.9998726098442309,0.9998722372439978
DenseNet121,RANDBG,standard,standard,3,1.0,1.0,1.0
DenseNet121,RANDBG,standard,standard,4,0.9996167113836719,0.999616657290354,0.9996167114501601
DenseNet121,RANDBG,standard,standard,5,0.9997444742557813,0.9997441404499711,0.9997444743552
DenseNet121,RATIO_1X,standard,standard,1,0.998594608406797,0.9985942475485294,0.9985944715901757
DenseNet121,RATIO_1X,standard,standard,2,0.9974447425578127,0.9974455111246441,0.9974452226025642
DenseNet121,RATIO_1X,standard,standard,3,0.997189216813594,0.9971900401047536,0.9971890871030376
DenseNet121,RATIO_1X,standard,standard,4,0.9969336910693752,0.9969329012659136,0.996933100665269
DenseNet121,RATIO_1X,standard,standard,5,0.9983390826625782,0.9983410647897736,0.998339581949082
DenseNet121,REMBG_ONLY,standard,standard,1,0.9988501341510158,0.9988496817417707,0.9988498998855126
DenseNet121,REMBG_ONLY,standard,standard,2,0.9987223712789064,0.9987233911631371,0.99872249072374
DenseNet121,REMBG_ONLY,standard,standard,3,0.9988501341510158,0.9988492418277989,0.9988497942169634
DenseNet121,REMBG_ONLY,standard,standard,4,0.9979557940462501,0.9979553618194552,0.9979555551912079
DenseNet121,REMBG_ONLY,standard,standard,5,0.9984668455346877,0.9984668709217314,0.9984666355239914
DenseNet121,STYLE_TRANSFER,standard,standard,1,0.9961671138367191,0.9961700789921286,0.9961683020073088
DenseNet121,STYLE_TRANSFER,standard,standard,2,0.995783825220391,0.9957845605754438,0.9957837356870165
DenseNet121,STYLE_TRANSFER,standard,standard,3,0.9964226395809378,0.9964247681392506,0.9964234054871469
DenseNet121,STYLE_TRANSFER,standard,standard,4,0.9979557940462501,0.9979561603104874,0.9979554212743815
DenseNet121,STYLE_TRANSFER,standard,standard,5,0.9968059281972659,0.9968059909378418,0.9968058529964087
EfficientNetV2B0,FULL,attention,progressive,1,0.932796729270474,0.9326953788710297,0.9327003522786025
EfficientNetV2B0,FULL,attention,progressive,2,0.9391848728759422,0.9390874165530917,0.9390824745145694
EfficientNetV2B0,FULL,attention,progressive,3,0.931391337677271,0.9312902980837691,0.9312971432902527
EfficientNetV2B0,FULL,attention,progressive,4,0.9377794812827392,0.9377133763601293,0.9377133465461875
EfficientNetV2B0,FULL,attention,progressive,5,0.9252587198160215,0.9251288056907381,0.925133329405698
EfficientNetV2B0,FULL,attention,standard,1,0.9973169796857033,0.997316184257286,0.9973165836236877
EfficientNetV2B0,FULL,attention,standard,2,0.997189216813594,0.9971894054275504,0.9971891979326472
EfficientNetV2B0,FULL,attention,standard,3,0.9977002683020314,0.9976996596885725,0.9977001082352024
EfficientNetV2B0,FULL,attention,standard,4,0.9970614539414846,0.9970611849364011,0.9970612625477842
EfficientNetV2B0,FULL,attention,standard,5,0.9978280311741408,0.9978277332395302,0.9978278045327877
EfficientNetV2B0,FULL,spatial_pooling,standard,1,0.9504280056215664,0.9503148735105059,0.9503145104755142
EfficientNetV2B0,FULL,spatial_pooling,standard,2,0.9978280311741408,0.9978281029497473,0.9978280178225237
EfficientNetV2B0,FULL,spatial_pooling,standard,3,0.9568161492270346,0.9567542134490221,0.9567534743399853
EfficientNetV2B0,FULL,spatial_pooling,standard,4,0.9510668199821132,0.9510368182324371,0.9510316378790771
EfficientNetV2B0,FULL,spatial_pooling,standard,5,0.9511945828542225,0.9511440587670704,0.9511442390869717
EfficientNetV2B0,FULL,standard,progressive,1,0.9326689663983646,0.9325330502743517,0.932539927487141
EfficientNetV2B0,FULL,standard,progressive,2,0.9276862143860994,0.9276020924112314,0.9276050112939284
EfficientNetV2B0,FULL,standard,progressive,3,0.9304969975725055,0.9304056968764264,0.9304061897707774
EfficientNetV2B0,FULL,standard,progressive,4,0.9354797495847706,0.9353995960775795,0.9353963741540091
EfficientNetV2B0,FULL,standard,progressive,5,0.9340743579915677,0.9336300507771741,0.9336489153084573
EfficientNetV2B0,FULL,standard,standard,1,0.9983390826625782,0.9983389511266327,0.9983392067241719
EfficientNetV2B0,FULL,standard,standard,2,0.9982113197904688,0.9982100938835441,0.9982112797629722
EfficientNetV2B0,FULL,standard,standard,3,0.9991056598952345,0.9991045121016688,0.9991060145722601
EfficientNetV2B0,FULL,standard,standard,4,0.9979557940462501,0.9979557763710802,0.9979560835440586
EfficientNetV2B0,FULL,standard,standard,5,0.9978280311741408,0.9978280143466923,0.9978280195289863
EfficientNetV2B0,GAN,standard,progressive,1,0.9297304203398492,0.9293536883191456,0.9293587095851183
EfficientNetV2B0,GAN,standard,progressive,2,0.9334355436310208,0.9332488175470558,0.933249692657412
EfficientNetV2B0,GAN,standard,progressive,3,0.926153059920787,0.9258724692706011,0.9258747780964679
EfficientNetV2B0,GAN,standard,progressive,4,0.9284527916187556,0.928416093858511,0.9284184227623755
EfficientNetV2B0,GAN,standard,progressive,5,0.9271751628976619,0.9268365732930387,0.9268358287426991
EfficientNetV2B0,GAN,standard,standard,1,0.9980835569183595,0.9980822424457105,0.9980830498362535
EfficientNetV2B0,GAN,standard,standard,2,0.9988501341510158,0.9988499106910951,0.9988500336401657
EfficientNetV2B0,GAN,standard,standard,3,0.9988501341510158,0.9988493436142806,0.9988497996890805
EfficientNetV2B0,GAN,standard,standard,4,0.9989778970231251,0.9989758087818446,0.9989777284618143
EfficientNetV2B0,GAN,standard,standard,5,0.9978280311741408,0.9978280730302049,0.9978277167304106
EfficientNetV2B0,INDOOR,standard,progressive,1,0.9294748945956305,0.9292626704622582,0.9292767019257945
EfficientNetV2B0,INDOOR,standard,progressive,2,0.9267918742813338,0.9267930821105314,0.9267915106837636
EfficientNetV2B0,INDOOR,standard,progressive,3,0.9315191005493804,0.9312370641570838,0.9312365595221747
EfficientNetV2B0,INDOOR,standard,progressive,4,0.9290916059793024,0.928903767782898,0.928907934495583
EfficientNetV2B0,INDOOR,standard,progressive,5,0.93560751245688,0.9353833000653071,0.9353884427307897
EfficientNetV2B0,INDOOR,standard,standard,1,0.9980835569183595,0.9980826628039627,0.9980831441006713
EfficientNetV2B0,INDOOR,standard,standard,2,0.9994889485115626,0.9994877572380964,0.9994888484780367
EfficientNetV2B0,INDOOR,standard,standard,3,0.9991056598952345,0.9991042172249975,0.9991056910196542
